Name,Address,Town,State,Zip,Contact,Phone,Email,Last Use
Access Construction,220 Adams Street,Holliston,MA,01746,Mike Bell,508-310-5414,,Dec-12
Danvers Fence,192 Pine Street,Danvers,MA,01923,Alan Walke,,,Mar-14
Eagle Fence Company,570 E Falmouth Hwy,E Falmouth,MA,02536,V. J. Enright,508-540-3161,,Oct-12
Baruffi Landscape,23 Ledgecrest Avenue,New Britain,CT,06051,Mike Baruffi,,,May-14
4 Seasons Lawn Care,61 Tanglewood Road,New Hartford,CT,06057,Andrew Newcity,,,Jun-12
Simsbury Fence,20 Nod Brook Drive,Simsbury,CT,06070,Gerard Burke,,,Jun-12
B & D Landscaping,207 Spencer Hill Road,Winsted,CT,06098,Bryan Bentley,860-309-8190,,Oct-13
CJE Properties,1363 Seaview Avenue,Bridgeport,CT,06607,John,203-767-7300,,May-14
Outdoor Design,2205 Congress Street,Fairfield,CT,06824,Chris Palmer,203-258-1213,,Apr-13
Conners Development,3470 Congress Street,Fairfield,CT,06824,Matt Conners,203-610-1858,,Feb-12
Elise Landscaping,530 Old Stamford Road,New Canaan,CT,06840,Richard Gould,,,Apr-11
QS Construction,33 Nutmeg Lane,Stamford,CT,06905,Jason Williams,,,Apr-11
Home Works,31 Valhalla Road,Montville,NJ,07054,Paul Varney,973-216-1000,,Sep-13
Master Carpenter Home Improvement,2431 N Third Street,Union,NJ,07083,Renato Pagaduan,908-962-6547,,Jan-13
Dean Fence,174 Kiel Avenue,Butler,NJ,07405,Logan Dean,,,Jul-13
Kastle Builders,348 N Franklin Turnpike,Hohokus,NJ,07423,Gabe,201-803-0508,,Jun-14
Paps Landscape,15 C Ironhorse Road,Oakland,NJ,07436,,,,Jul-11
Abra Fence,296 Midland Avenue,Saddle Brook,NJ,07633,Breno Pagani,973-330-6052,,Oct-12
Frank A. Morris Construction,2168 Allenwood Road,Wall,NJ,07719,Frank Morris,732-280-0797,,Apr-11
FGM Landscaping,29 Iron Ore Road,Millstone,NJ,07726,Scott,732-577-9109,,Jun-13
JBH Paving & Excavating LLC,5134 W Hurley Pond Road,Farmingdale,NJ,07727,John Harleman,732-522-0773,,Apr-13
AF Realty Enterprises,24 Seminole Lane,Pedricktown,NJ,08067,Armando Fernandez,302-547-3172,,Feb-13
Joseph's Landscaping & Irrigation,1281 Glassboro Road,Williamstown,NJ,08094,Anthony Palumbo,856-629-9528,,Jan-11
Garden Artisans,42 Stonehenge Drive,East Windsor,NJ,08520,Daniel Jamet,609-371-0099,,Jul-13
Munds Outdoor Living,15 Morris Drive,Princeton,NJ,08540,Paul Munds,,,Jun-13
A Cut Above Landscaping,,Toms River,NJ,08753,Jeff Stroff,,,May-13
McArdle LTD,10 Tillman Lane,Brewster,NY,10509,Michael McArdle,845-279-1191,,Feb-14
Minuta Builders,219 Taylor Road,Mountainville,NY,10953,Roberto Minuta,845-614-5273,,Jul-11
Halcyon Construction,65 Marble Avenue,Pleasantville,NY,10962,Sal Leopoldo,914-741-1112,,Apr-13
Alco Store Development Corp.,134 Van Dyke Street,Brooklyn,NY,11231,Alex Feldman,718-832-2019,,Jun-13
"APS Builders, Inc.",210 Seawane Place,Hewlett,NY,11557,Tatyana Yasinskaya,516-792-4974,,Feb-13
Kora Developers,3069 Wynsum Avenue,Merrick,NY,11566,Alex Kostovesky,,,May-12
Story Book Homes,100 Nesconset Hwy,Nesconset,NY,11767,Kenneth Hornberger,631-366-4505,,Mar-13
FPF Construction,319 1st Avenue,St. James,NY,11780,Craig Greubel,631-584-3000,,May-14
Reliable Remodeling,45 Udalia Road,West Islip,NY,11795,Bavid Bruno,,,Feb-14
Gress Construction,225 Briggs Hwy,Ellenville,NY,12428,Vinnie Gress,914-456-2069,,Oct-12
New York State Fence,858 Manitou Road,Hilton,NY,14468,Randy Thomas,585-392-3222,,May-13
Regency Fence,41 Culdorf Alley,Rochester,NY,14615,Tom,585-766-9119,,May-12
Richard Peck Construction,63 S 7th Street,Allegany,NY,14706,Jacquie Barber,,,Nov-13
"Ceriani Construction Co., Inc.",2538 8th Avenue,Beaver Falls,PA,15010,Raymond Allan Ross,724-846-0684,,Aug-12
"G & S Distinctive Home Repair and Remodel, Inc.",737 Rockwood Avenue,Pittsburgh,PA,15234,Steve Delaney,412-965-0161,,Jun-14
Landscape Impressions,410 Fast Main Street,Mount Joy,PA,17552,Drew Hummer,717-492-0061,,Jul-12
Hepner's Landscaping,2017 Market Street,Lewisburg,PA,17837,Rodney Hepner,570-490-9622,,Aug-12
Hawk's Landscaping,504 Route 204,Selinsgrove,PA,17870,Frank,,,Oct-13
High-Tech Deck & Spas,910 Mansion Street,Bristol,PA,19007,Andy Vendetti,215-785-4228,,Dec-12
Cherokee Construction,820 Paper Mill Road,Wyndmoor,PA,19038,Justin,,,Jul-13
Aapex Remodeling,1531 Gehman Road,Harleysville,PA,19438,Paul Stewart,,,Feb-14
Colonial Construction,126 Middleboro Road,Wilmington,DE,19804,,,,Jun-13
M2 Construction,"704 King Street, Suite 6B",Leesburg,VA,20175,Shane,,,Apr-14
Premier Home Services,224 Prince Street,Leesburg,VA,20176,Al Barney,703-779-2324,,Mar-13
East Coast Construction,29250 Three Notch Road,Mechanicsville,MD,20659,David Fowler,,,Jan-12
Leon & Associates Construction,9504 Bald Hill Road,Bowie,MD,20721,Antonio,,,Nov-11
John L Jeunemann Painting & Decorating,9341 Fraser Avenue,Silver Spring,MD,20910,Carlos Parada,,,Mar-12
T & J Nickoles & Co.,6304 Deer Park Road,Reisterstown,MD,21136,Timothy Nickoles,443-250-3783,,Aug-11
Meyers Construction,"1121 Greenwood Road, Suite 101",Pikesville,MD,21208,Hale Shilling,,,Aug-11
Sparkle Pools,7913 Industrial Park Road,Easton,MD,21601,Ralph Bowers,717-580-1291,,Aug-11
P.E. Moore & Sons Construction,29321 Backtown Road,Trappe,MD,21673,Edward Moore,,,Sep-13
MowCow Lawn & Landscape,5810 Hill Street,Fairfax Station,VA,22039,Ed Decowski,703-425-5630,,Mar-14
Professional Grounds,7955 Angleton Court,Lorton,VA,22079,Lynelle Kyle,,,Mar-11
Northeast Contracting,3417 17th Street,Arlington,VA,22204,Sean Kelley,703-850-1799,,Apr-12
Greenrock Construction,5501 Washington Blvd,Arlington,VA,22205,Jeff King,,,Jun-13
Lawn Doctor of Stafford,101 Juliad Court Suite 102,Fredericksburg,VA,22306,Chris Bradford,540-286-3074,,Dec-12
Jefferson Home Builders,501 N Main Street,Culpeper,VA,22701,Gordon Thomas,540-825-5898,,Sep-12
"Commonwealth Commercial Construction, Inc.",4685 Studley Road,Mechanicsville,VA,23116,Joe Burke,804-779-3990,,Sep-12
Wateredge Construction,105 E Cary Street,Richmond,VA,23219,James Fice,804-641-9790,,Oct-12
Home Images Remodeling,609 Mile Preek Lane,Cesapeake,VA,23322,Gary Olander,757-393-7790,,Aug-13
Integrity Landscaping,1005 Greene Chapel Road,Suffolk,VA,23434,,,,Apr-11
Kempsville Fence & Deck Co.,712 Hemlock Crescent,Virginia Beach,VA,23464,George Womick,757-495-1025,,Jul-12
South Augusta Fence,31 Oak Spring Lane,Stanton,VA,24401,Justin Shomo,540-292-8972,,Feb-13
"Boone Fabrics, Inc.",8905 W Market Street,Colfax,NC,27235,Jim Clark,336-852-3081,,Mar-13
O'Mara Landscaping,323 St. Thomas Drive,Chapel Hill,NC,27517,James O'Mara,919-942-5051,,Apr-13
Riordan Company,7360 Capulin Crest Drive,Apex,NC,27539,Matt Riordan,919-868-7605,,Oct-13
Ray's Fencing,3642 Bell Arthur Road,Greenville,NC,27834,Ray Gibbs,,,Jun-12
Concrete and Landscape Designs,306 Eagle Drive,Kill Devil Hills,NC,27948,Dave Schuster,252-202-2006,,Apr-13
Outer Banks Landscape,657 Vista Lake Drive,Manteo,NC,27954,Ryan Mahler,,,Apr-12
Mathews Fence & Supply,7619 Secrest Shortcut Road,Indian Trail,NC,28079,April Ward,704-882-8800,,Apr-14
"Griffin Construction, LLC",2173 Winfield Road,Polkton,NC,28135,,,,Mar-12
"Landscapes, Inc.",5 Greens Road,Hilton Head Island,SC,29926,John Summerall,843-684-4201,,Jan-11
Tanner Landscape Architecture and Contracting,20 Marvallingrove Road,Savannah,GA,31406,Scott Tanner,912-356-5848,,Jan-11
Dibros Design and Construction,104 SW 131st Street,Newberry,FL,32669,Amber,352-260-7236,,Jan-12
Layall Landscape,320 88 Street,Surfside,FL,33154,Abed Layali Deidone,,,Apr-11
Earthworks,4147 Paxton Place,Birmingham,AL,35242,Greg Sawyer,205-369-9694,,Jan-13
GreenScape Plus,P.O. Box 660554,Birmingham,AL,35266,Rick Plasters,205-213-4627,,Feb-13
Bonner's Lawn & Landscaping,6736 N Creedwood Drive,Brentwood,TN,37027,Scott Bonner,,,Jan-11
Foxhollow Goodson Group,102 Chaho Road,Knoxville,TN,37934,Chris Malone,865-777-1720,,Sep-13
All Star Fence,572 Plymouth Road,Columbus,MS,39705,Jerry Beard,662-241-0044,,Jun-14
"Bozzacco Company, Inc.",505 London Road,Delaware,OH,43015,James Bozzacco,740-369-2141,,Dec-13
Mallory Pools,8185 Green Meadows Drive N,Lewis Center,OH,43035,Kevin Fox,740-879-4800,,Nov-12
Ram Construction Services,471 Whitestone River Road N,Caledonia,OH,43314,Randy Masters,419-845-2417,,Aug-13
"Executive Landscaping, Inc.",1480 Youngstown-Kingsley Road,Vienna,OH,44473,Lynn Hawley,330-539-1551,,Oct-13
"Buhrt Builders, Inc.",1102 S Huntington Street,Syracuse,IN,46567,Luann Leatherman,574-457-3431,,Mar-14
Kat Builders,12525 E Tuscola,Frankenmuth,MI,48734,Ken Thompson,989-493-4467,,Jun-12
Lake State Landscaping,11200 Columbia Highway,Eaton Rapids,MI,48827,Steve Kolonich,517-322-2646,,Apr-14
Absolute Remodeling,5807 Averill Avenue SW,Wyoming,MI,49548,Justin Long,,,May-14
Apex Construction,4218 Yvette Street SW,Iowa City,IA,52240,Steve Schmidt,319-339-1543,,Jun-11
Michael's Fence & Supply,3100 E 10th Street,Sioux Falls,SD,57103,Corey Visscher,605-336-7886,,Jun-12
Dakota Pro Landscape Services,5067 139th Avenue NW,Williston,ND,58801,Garold,701-306-1082,,Jun-14
Cascon Consctruction Co.,1611 Moore Avenue,Streamwood,IL,60107,James Cascorio,,,Oct-13
Frederickson Builders,2412 Avalon Court,Aurora,IL,60503,Jim Waters,630-417-0958,,Apr-14
Tyler's Landscaping Services,6701 N Main Street,Rockford,IL,61103,Andrea Rundblade,815-636-8500,,Feb-14
"Brown & Roberts, Inc.",1 West Ridge Road,Harrisburg,IL,62946,Connie Frazier,,,Apr-12
Medina Construction,211 E Wallnut,Salina,KS,67401,Robert Hague,,,Apr-11
Gulf Coast Contracting,208 S Tyler Ste A,Covington,LA,70433,Kyle Cooper,985-966-0620,,Feb-12
Gulf Coast Dock and Door,21449 Marion Lane Unit 8,Mandeville,LA,70471,Brian Williard,985-246-1550,,Oct-13
"Land Architecture, LLC",100 St. Julien Avenue,Lafayette,LA,70506,Michael Cullen,,,May-12
Wood Construction,1090 County Road 833,Black Oak,AR,72414,Jordan Wood,,,Nov-13
L & C Fence,928 Peak Street,Dallas,TX,75223,Jon Richardson,214-823-1272,,Feb-11
Glasco & Co. Landscaping,601 N Blue Bell,Brenham,TX,77833,Nathan Meyer,979-836-7036,,Apr-14
Rundle Construction,14354 Rimrock Road,Hotchkiss,CO,81419,Becky Rundle,970-835-8333,,Jun-14
Lakeside Construction,1841 Alpine Street,Carson City,NV,89703,Hector Chavez,,,May-13
Republic Fence,20920 Itasca Street,Chatsworth,CA,91311,Brian,818-341-5323,,Jun-14
D.J. Construction,1180 Jewell Avenue,Pacific Grove,CA,93950,Daniusz Janczy,831-869-8124,,Apr-11
S.E.A Construction,"1941 O'Farrell Street, #101",San Mateo,CA,94403,Steve Albert,,,Sep-11
Stevenson's Landscaping,5 Green Tree Way,Scotts Valley,CA,95066,David Stevenson,831-566-6110,,Jul-11
Earthworks Landscape,259 Victoria Street,Fredericton,NB,E3B1W3,Alex Brennan,,,May-11